unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
144.287109375,144.2962646484375,[5 5 4 1 3],[9 2 3 4 0]
156.005859375,156.0150146484375,[8 1 7 9 3],[3 4 6 2 9]
190.2191162109375,190.228271484375,[3 4 9 8 3],[9 8 3 3 2]
87.8631591796875,87.872314453125,[6 5 3 2 3],[1 9 4 9 2]
95.0958251953125,95.10498046875,[6 8 9 8 5],[3 3 5 3 8]
110.5865478515625,110.595703125,[9 0 2 3 8],[6 2 5 9 5]
146.868896484375,146.8780517578125,[3 6 4 3 2],[0 3 3 2 5]
160.0250244140625,160.0341796875,[3 8 1 5 9],[0 3 9 9 5]
133.9508056640625,133.9599609375,[0 2 7 9 4],[2 5 6 2 3]
111.0076904296875,111.016845703125,[0 0 3 3 9],[4 3 2 4 3]
223.1231689453125,223.13232421875,[2 3 6 4 7],[0 4 9 3 2]
61.3037109375,61.3128662109375,[3 3 5 5 3],[9 2 9 9 9]
78.7628173828125,78.77197265625,[3 1 6 9 5],[9 9 9 2 2]
116.546630859375,116.5557861328125,[8 1 5 7 3],[3 4 2 9 9]
158.3038330078125,158.31298828125,[4 7 8 3 7],[3 6 3 4 2]
95.965576171875,95.9747314453125,[1 5 4 0 3],[9 9 8 9 2]
112.5640869140625,112.5732421875,[2 0 7 3 5],[3 3 2 9 9]
144.9005126953125,144.90966796875,[9 2 8 4 2],[2 9 3 3 3]
91.0491943359375,91.058349609375,[3 2 7 2 7],[9 3 3 0 9]
81.26220703125,81.2713623046875,[3 9 8 4 4],[2 3 3 3 3]
64.4256591796875,64.434814453125,[6 5 3 3 3],[9 9 0 0 2]
113.1866455078125,113.19580078125,[6 1 2 1 4],[9 3 5 4 3]
115.228271484375,115.2374267578125,[5 1 6 6 3],[2 4 3 9 9]
151.8951416015625,151.904296875,[9 0 0 9 3],[3 2 3 2 9]
176.3671875,176.3763427734375,[9 3 3 8 6],[3 4 9 3 9]
87.8814697265625,87.890625,[6 1 1 2 9],[0 4 4 0 2]
109.9273681640625,109.9365234375,[4 2 3 5 8],[3 5 9 9 3]
87.6708984375,87.6800537109375,[4 0 5 4 8],[3 3 9 3 5]
85.2996826171875,85.308837890625,[6 9 3 3 5],[0 2 2 0 9]
86.2884521484375,86.297607421875,[8 5 3 3 6],[5 9 2 2 9]
134.088134765625,134.0972900390625,[7 3 5 9 1],[3 9 2 2 4]
82.8094482421875,82.818603515625,[3 2 4 6 6],[0 9 3 9 0]
161.16943359375,161.1785888671875,[9 3 2 6 2],[3 9 7 9 5]
169.024658203125,169.0338134765625,[4 5 8 2 1],[8 2 3 7 4]
184.7900390625,184.7991943359375,[5 9 2 1 3],[8 2 9 3 2]
169.5465087890625,169.5556640625,[9 1 5 7 3],[3 9 9 2 9]
92.3492431640625,92.3583984375,[1 7 9 0 5],[3 2 3 2 9]
104.9468994140625,104.9560546875,[2 8 9 1 7],[9 3 3 3 2]
91.7266845703125,91.73583984375,[2 2 5 4 3],[5 9 9 8 9]
141.0186767578125,141.02783203125,[9 1 5 9 9],[2 9 9 3 5]
83.4320068359375,83.441162109375,[1 8 0 8 3],[9 3 9 3 4]
107.977294921875,107.9864501953125,[4 9 7 6 9],[3 3 2 9 5]
79.1290283203125,79.13818359375,[9 9 7 6 8],[2 3 2 0 3]
77.38037109375,77.3895263671875,[1 8 6 1 6],[4 3 3 4 9]
125.8209228515625,125.830078125,[4 9 8 3 4],[3 5 3 2 8]
150.3662109375,150.3753662109375,[4 9 3 0 3],[3 5 2 3 9]
