unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
29.827880859375,29.8370361328125,[9 2 8],[3 3 3]
84.1552734375,84.1644287109375,[2 1 9],[5 4 2]
58.5479736328125,58.55712890625,[0 2 7],[3 3 2]
60.369873046875,60.3790283203125,[2 3 0],[9 9 3]
81.8756103515625,81.884765625,[1 4 3],[3 3 9]
57.8155517578125,57.82470703125,[5 5 9],[9 9 2]
61.5966796875,61.6058349609375,[4 5 4],[3 2 8]
59.6466064453125,59.65576171875,[3 3 4],[4 9 8]
63.3087158203125,63.31787109375,[3 2 5],[9 9 2]
60.0860595703125,60.09521484375,[7 0 0],[2 2 5]
31.3201904296875,31.329345703125,[3 3 1],[9 9 9]
58.9691162109375,58.978271484375,[2 3 1],[3 4 4]
50.335693359375,50.3448486328125,[8 2 8],[3 3 5]
56.1859130859375,56.195068359375,[4 4 9],[3 3 2]
122.86376953125,122.8729248046875,[5 2 9],[2 5 3]
53.35693359375,53.3660888671875,[9 4 7],[2 3 3]
50.372314453125,50.3814697265625,[8 9 6],[3 3 9]
56.195068359375,56.2042236328125,[3 4 7],[2 3 2]
125.1983642578125,125.20751953125,[9 3 5],[3 9 9]
61.248779296875,61.2579345703125,[3 6 5],[0 0 9]
50.5279541015625,50.537109375,[8 6 8],[3 1 3]
134.3353271484375,134.344482421875,[9 9 3],[3 5 9]
110.15625,110.1654052734375,[0 4 3],[4 3 2]
59.6282958984375,59.637451171875,[9 2 0],[3 9 3]
83.16650390625,83.1756591796875,[8 3 1],[3 2 9]
140.7073974609375,140.716552734375,[3 9 3],[9 3 9]
64.434814453125,64.4439697265625,[5 2 3],[9 3 9]
79.925537109375,79.9346923828125,[3 1 8],[0 4 3]
61.1114501953125,61.12060546875,[6 0 1],[9 2 9]
60.7269287109375,60.736083984375,[0 0 5],[3 2 9]
31.3201904296875,31.329345703125,[3 2 1],[9 9 9]
61.1114501953125,61.12060546875,[1 0 6],[9 2 9]
57.769775390625,57.7789306640625,[8 5 5],[3 9 2]
65.8172607421875,65.826416015625,[6 1 3],[9 3 9]
79.705810546875,79.7149658203125,[9 4 3],[2 8 9]
66.064453125,66.0736083984375,[2 2 1],[3 5 3]
78.5430908203125,78.55224609375,[6 0 8],[9 2 3]
78.314208984375,78.3233642578125,[9 3 8],[5 0 3]
109.808349609375,109.8175048828125,[1 4 5],[4 5 9]
55.645751953125,55.6549072265625,[9 9 4],[2 3 8]
59.1156005859375,59.124755859375,[2 1 2],[9 4 0]
80.657958984375,80.6671142578125,[9 2 4],[2 5 3]
61.8255615234375,61.834716796875,[2 9 0],[5 3 3]
132.7423095703125,132.75146484375,[2 6 9],[9 9 2]
76.94091796875,76.9500732421875,[8 0 6],[5 2 0]
55.755615234375,55.7647705078125,[7 3 3],[2 2 9]
94.95849609375,94.9676513671875,[5 3 2],[2 9 7]
59.1705322265625,59.1796875,[7 3 0],[9 9 3]
86.38916015625,86.3983154296875,[1 7 9],[4 9 5]
61.6973876953125,61.70654296875,[5 0 6],[9 3 9]
29.6539306640625,29.6630859375,[2 9 8],[3 3 3]
140.606689453125,140.6158447265625,[2 8 9],[9 3 2]
87.3046875,87.3138427734375,[3 3 0],[9 2 3]
137.7777099609375,137.786865234375,[8 4 3],[4 8 2]
88.5223388671875,88.531494140625,[3 7 5],[0 3 9]
114.1021728515625,114.111328125,[3 2 7],[2 3 2]
61.5966796875,61.6058349609375,[5 5 4],[9 9 3]
57.3028564453125,57.31201171875,[3 5 3],[2 9 9]
90.728759765625,90.7379150390625,[1 5 4],[4 9 3]
57.9986572265625,58.0078125,[1 3 2],[4 0 0]
133.11767578125,133.1268310546875,[3 9 4],[9 3 3]
58.245849609375,58.2550048828125,[4 9 9],[8 2 6]
81.6925048828125,81.70166015625,[7 3 4],[6 0 8]
86.2152099609375,86.224365234375,[3 5 4],[9 2 3]
59.5458984375,59.5550537109375,[5 3 9],[2 2 3]
33.4625244140625,33.4716796875,[5 0 3],[9 9 9]
52.899169921875,52.9083251953125,[4 9 9],[8 3 5]
59.271240234375,59.2803955078125,[7 4 2],[9 8 9]
83.074951171875,83.0841064453125,[2 3 2],[7 2 0]
51.654052734375,51.6632080078125,[3 3 6],[9 4 9]
123.3306884765625,123.33984375,[3 9 3],[9 3 0]
55.70068359375,55.7098388671875,[7 0 4],[2 2 3]
85.3179931640625,85.3271484375,[9 5 8],[3 2 4]
52.47802734375,52.4871826171875,[3 0 8],[9 9 3]
